JULDAY,TIME,D0cm,D2.5cm,D5cm,D10cm,D15cm,D20cm,D30cm,D50cm,D100cm,D200cm,Tair,Tair_mammals
46,900,11.19683266,11.41225243,10.68918419,9.949642181,9.187496185,8.53446579,7.596761227,7.077927113,8.540735245,15.49166775,11.71697998,11.49407768
46,960,10.74987793,10.62761593,10.44233227,9.938458443,9.372659683,8.822724342,7.913369179,7.207026958,8.582241058,15.49166775,8.397216797,9.405194283
46,1020,9.523995399,9.665025711,9.712078094,9.582558632,9.283579826,8.911099434,8.148574829,7.347466469,8.625162125,15.49166775,4.83416748,6.843029976
46,1080,8.763506889,8.514442444,8.93808651,9.014527321,8.969532967,8.798749924,8.273550987,7.48781395,8.669551849,15.49166775,3.401763916,5.697917461
46,1140,7.814334869,8.052883148,8.24568367,8.498157501,8.596531868,8.575342178,8.290663719,7.616887093,8.715267181,15.49166775,2.648223877,4.860098839
46,1200,7.329338551,7.568590641,7.772626877,8.076920509,8.255545616,8.328836441,8.234290123,7.727183342,8.761973381,15.49166775,2.048095703,4.308753967
46,1260,6.639609814,7.420132637,7.332199097,7.73332119,7.956295967,8.092862129,8.139690399,7.815943241,8.80923748,15.49166775,1.570129395,3.739652157
46,1320,6.630746365,6.867051601,7.079286575,7.432030201,7.694076538,7.874649525,8.028877258,7.883641243,8.856619835,15.49166775,1.189422607,3.517553329
46,1380,6.364398479,6.598129749,6.811293125,7.175999641,7.461761475,7.675216675,7.913491249,7.932288647,8.90372467,15.49166775,0.886260986,3.229615211
74,0,10.22049904,9.158908844,10.07176399,10.25356674,10.51806259,10.68508339,10.79968452,10.45415688,10.31396866,15.49166775,3.566162109,6.4120121
74,60,9.245326042,9.465744972,9.667106628,10.01154232,10.27836323,10.47141075,10.65701103,10.47700977,10.36866188,15.49166775,3.381866455,5.888258934
74,120,9.039538383,9.25232029,9.448880196,9.792095184,10.06804848,10.27905464,10.52125359,10.48479843,10.42199993,15.49166775,3.236816406,5.716038227
74,180,9.151315689,8.848573685,9.319125175,9.596475601,9.883057594,10.1067028,10.39369678,10.48036385,10.4737587,15.49166775,3.122589111,5.697119236
74,240,8.712489128,8.911391258,9.098169327,9.434175491,9.71862793,9.952207565,10.27472496,10.46621704,10.52377129,15.49166775,3.032684326,5.457031727
74,300,8.581532478,8.774083138,8.956078529,9.287233353,9.572944641,9.813388824,10.16415501,10.44450378,10.57191753,15.49166775,2.961914063,5.359326363
74,360,9.068124771,8.228834152,8.958651543,9.152398109,9.445571899,9.688840866,10.06158543,10.41704655,10.61812019,15.49166775,2.906188965,5.534831047
74,420,8.896740913,8.909926414,8.961935043,9.146195412,9.368682861,9.58986187,9.96809864,10.38538551,10.66236687,15.49166775,3.36505127,5.726510048
74,480,10.00865364,9.74441433,9.572395325,9.443524361,9.477427483,9.590946198,9.900403023,10.35155869,10.70467186,15.49166775,5.427307129,7.384460449
74,540,11.94338799,10.71409035,10.69823074,10.09770489,9.857321739,9.776145935,9.898405075,10.32031441,10.74511719,15.49166775,8.474060059,9.957215309
74,600,13.29170322,12.54153347,11.92325115,11.03144646,10.47787285,10.16160107,9.999276161,10.29993343,10.78390121,15.49166775,11.88970947,12.48949814
74,660,14.72463226,13.92947769,13.22217751,12.08004951,11.26540661,10.71622086,10.21758366,10.30022526,10.82138252,15.49166775,14.98413086,14.87303543
74,720,15.37565899,15.4061451,14.17009735,13.02054119,12.05018044,11.34085655,10.53756618,10.32968616,10.8580761,15.49166775,17.13226318,16.37914848
74,780,16.8412056,15.99542809,15.2202816,13.88088036,12.80749512,11.97306728,10.91995239,10.39249325,10.89463425,15.49166775,17.89996338,17.4460392
74,840,17.34866524,16.60451317,15.89426804,14.59502029,13.48928356,12.5829792,11.33516502,10.48869801,10.93173027,15.49166775,17.13226318,17.22502136
74,900,16.81166267,16.96764755,16.04370117,15.0276556,13.99858856,13.10344887,11.75042915,10.61527443,10.96996593,15.49166775,14.98413086,15.76729965
74,960,16.45812988,16.18606377,15.85535145,15.07375717,14.24830723,13.45740795,12.12256432,10.76568508,11.00982666,15.49166775,11.88970947,13.84701061
74,1020,15.16486931,15.19457912,15.12422562,14.74915218,14.20563793,13.59830856,12.40802574,10.92978477,11.05162048,15.49166775,8.474060059,11.34003067
74,1080,13.4501667,14.2312336,14.05621338,14.1229229,13.88245773,13.50916672,12.5738802,11.09501171,11.09541512,15.49166775,6.338684082,9.384159088
